Date,Total_Illnesses
1998-01-01,492
1998-02-01,578
1998-03-01,833
1998-04-01,1560
1998-05-01,1035
1998-06-01,2589
1998-07-01,1094
1998-08-01,1715
1998-09-01,2197
1998-10-01,1040
1998-11-01,868
1998-12-01,1077
1999-01-01,277
1999-02-01,653
1999-03-01,437
1999-04-01,1073
1999-05-01,1564
1999-06-01,1146
1999-07-01,756
1999-08-01,1577
1999-09-01,1421
1999-10-01,1699
1999-11-01,894
1999-12-01,1180
2000-01-01,369
2000-02-01,1050
2000-03-01,1045
2000-04-01,670
2000-05-01,1250
2000-06-01,1047
2000-07-01,1947
2000-08-01,922
2000-09-01,800
2000-10-01,926
2000-11-01,1399
2000-12-01,1134
2001-01-01,1784
2001-02-01,860
2001-03-01,1628
2001-04-01,1457
2001-05-01,2346
2001-06-01,1410
2001-07-01,1163
2001-08-01,932
2001-09-01,828
2001-10-01,576
2001-11-01,1379
2001-12-01,1490
2002-01-01,1108
2002-02-01,872
2002-03-01,1756
2002-04-01,1874
2002-05-01,1204
2002-06-01,1536
2002-07-01,1346
2002-08-01,985
2002-09-01,1870
2002-10-01,1303
2002-11-01,1702
2002-12-01,1462
2003-01-01,562
2003-02-01,829
2003-03-01,1099
2003-04-01,924
2003-05-01,874
2003-06-01,1664
2003-07-01,691
2003-08-01,1325
2003-09-01,869
2003-10-01,1296
2003-11-01,1985
2003-12-01,524
2004-01-01,1673
2004-02-01,1808
2004-03-01,1843
2004-04-01,1333
2004-05-01,1068
2004-06-01,1969
2004-07-01,1378
2004-08-01,1465
2004-09-01,1228
2004-10-01,1217
2004-11-01,1761
2004-12-01,2550
2005-01-01,743
2005-02-01,799
2005-03-01,1374
2005-04-01,2268
2005-05-01,1968
2005-06-01,1186
2005-07-01,1333
2005-08-01,769
2005-09-01,952
2005-10-01,851
2005-11-01,1179
2005-12-01,1286
2006-01-01,2044
2006-02-01,1351
2006-03-01,894
2006-04-01,1890
2006-05-01,3869
2006-06-01,1531
2006-07-01,1103
2006-08-01,1335
2006-09-01,767
2006-10-01,1050
2006-11-01,2628
2006-12-01,2032
2007-01-01,1307
2007-02-01,1347
2007-03-01,844
2007-04-01,1096
2007-05-01,1371
2007-06-01,1808
2007-07-01,1332
2007-08-01,1136
2007-09-01,934
2007-10-01,1107
2007-11-01,1123
2007-12-01,1264
2008-01-01,824
2008-02-01,738
2008-03-01,1500
2008-04-01,2019
2008-05-01,1199
2008-06-01,1135
2008-07-01,1571
2008-08-01,1819
2008-09-01,734
2008-10-01,1385
2008-11-01,1105
2008-12-01,1342
2009-01-01,924
2009-02-01,969
2009-03-01,931
2009-04-01,650
2009-05-01,887
2009-06-01,956
2009-07-01,763
2009-08-01,610
2009-09-01,399
2009-10-01,514
2009-11-01,386
2009-12-01,890
2010-01-01,1286
2010-02-01,1206
2010-03-01,683
2010-04-01,1730
2010-05-01,689
2010-06-01,790
2010-07-01,662
2010-08-01,852
2010-09-01,422
2010-10-01,875
2010-11-01,873
2010-12-01,652
2011-01-01,616
2011-02-01,1654
2011-03-01,745
2011-04-01,1392
2011-05-01,952
2011-06-01,666
2011-07-01,1094
2011-08-01,297
2011-09-01,909
2011-10-01,700
2011-11-01,809
2011-12-01,1257
2012-01-01,1582
2012-02-01,870
2012-03-01,978
2012-04-01,879
2012-05-01,741
2012-06-01,1296
2012-07-01,1378
2012-08-01,910
2012-09-01,642
2012-10-01,933
2012-11-01,1236
2012-12-01,1193
2013-01-01,648
2013-02-01,959
2013-03-01,1293
2013-04-01,1180
2013-05-01,1506
2013-06-01,1420
2013-07-01,552
2013-08-01,746
2013-09-01,558
2013-10-01,786
2013-11-01,514
2013-12-01,1201
2014-01-01,973
2014-02-01,450
2014-03-01,1592
2014-04-01,1215
2014-05-01,1017
2014-06-01,1315
2014-07-01,722
2014-08-01,920
2014-09-01,642
2014-10-01,637
2014-11-01,1074
2014-12-01,1183
2015-01-01,699
2015-02-01,849
2015-03-01,1384
2015-04-01,1262
2015-05-01,1239
2015-06-01,1511
2015-07-01,854
2015-08-01,869
2015-09-01,845
2015-10-01,1114
2015-11-01,737
2015-12-01,1334
